id,id_produto,descicao,data_registro,tipo,quantidade,preco_entrada,preco_saida,total
1,541516113,MAIONESE,04/09/2023,entrada,10,"10,0","10,0","100,0"
2,18616818138132,ARROZ,04/09/2023,entrada,10,"15,99","15,99","159,9"
3,18616818138132,ARROZ,04/09/2023,entrada,10,"1,99","15,99","19,9"
4,18616818138132,ARROZ,05/09/2023,entrada,10,"10,0","10,0","100,0"
5,736435693598,FEIJAO,05/09/2023,entrada,10,"19,9","20,9","199,0"
6,541516113,MAIONESE,05/09/2023,entrada,10,"9,9","13,9","99,0"
7,541516113,,05/09/2023,saida,1,"9,9","0,0","13,9"
8,541516113,,05/09/2023,saida,1,"9,9","0,0","13,9"
9,541516113,,05/09/2023,saida,1,"9,9","0,0","13,9"
10,736435693598,,05/09/2023,saida,1,"19,9","0,0","20,9"
11,18616818138132,,05/09/2023,saida,2,"10,0","0,0","20,0"
12,18616818138132,ARROZ,05/09/2023,saida,1,"10,0","0,0","0,0"
13,18616818138132,ARROZ,05/09/2023,saida,2,"10,0","0,0","0,0"
14,736435693598,FEIJAO,05/09/2023,saida,3,"19,9","0,0","0,0"
15,736435693598,FEIJAO,05/09/2023,saida,1,"19,9","0,0","0,0"
16,736435693598,FEIJAO,05/09/2023,saida,2,"19,9","0,0","0,0"
17,736435693598,FEIJAO,05/09/2023,saida,3,"19,9","0,0","0,0"
18,736435693598,FEIJAO,05/09/2023,saida,1,"19,9","0,0","0,0"
19,736435693598,FEIJAO,05/09/2023,saida,1,"19,9","0,0","0,0"
20,736435693598,FEIJAO,05/09/2023,saida,5,"19,9","0,0","0,0"
21,736435693598,FEIJAO,05/09/2023,saida,1,"19,9","0,0","0,0"
22,736435693598,FEIJAOFEIJAO,05/09/2023,saida,5,"19,9","20,9","104,5"
23,736435693598,FEIJAO,05/09/2023,saida,1,"19,9","20,9","20,9"
24,541516113,FEIJAOMAIONESE,05/09/2023,saida,1,"9,9","20,9","13,9"
25,541516113,MAIONESE,05/09/2023,saida,1,"9,9","13,9","13,9"
26,541516113,MAIONESE,05/09/2023,saida,2,"9,9","13,9","27,8"
27,18616818138132,ARROZ,05/09/2023,saida,1,"10,0","10,0","10,0"
28,736435693598,FEIJAO,05/09/2023,saida,3,"19,9","20,9","62,699999999999996"
